date,country,cases
2020-02-14,Italy,0
2020-02-15,Italy,0
2020-02-16,Italy,0
2020-02-17,Italy,0
2020-02-18,Italy,0
2020-02-19,Italy,0
2020-02-20,Italy,0
2020-02-21,Italy,0
2020-02-22,Italy,6
2020-02-23,Italy,67
2020-02-24,Italy,48
2020-02-25,Italy,105
2020-02-26,Italy,93
2020-02-27,Italy,78
2020-02-28,Italy,250
2020-02-29,Italy,238
2020-03-01,Italy,240
2020-03-02,Italy,561
2020-03-03,Italy,347
2020-03-04,Italy,466
2020-03-05,Italy,587
2020-03-06,Italy,769
2020-03-07,Italy,778
2020-03-08,Italy,1247
2020-03-09,Italy,1492
2020-03-10,Italy,1797
2020-03-11,Italy,977
2020-03-12,Italy,2313
2020-01-20,Hong Kong,NA
2020-01-21,Hong Kong,NA
2020-01-23,Hong Kong,NA
2020-01-24,Hong Kong,1
2020-01-25,Hong Kong,3
2020-01-26,Hong Kong,0
2020-01-27,Hong Kong,3
2020-01-28,Hong Kong,0
2020-01-29,Hong Kong,0
2020-01-30,Hong Kong,2
2020-01-31,Hong Kong,2
2020-02-01,Hong Kong,1
2020-02-02,Hong Kong,1
2020-02-03,Hong Kong,1
2020-02-04,Hong Kong,0
2020-02-05,Hong Kong,3
2020-02-06,Hong Kong,3
2020-02-07,Hong Kong,3
2020-02-08,Hong Kong,2
2020-02-09,Hong Kong,0
2020-02-10,Hong Kong,10
2020-02-11,Hong Kong,6
2020-02-12,Hong Kong,7
2020-02-13,Hong Kong,1
2020-02-14,Hong Kong,3
2020-02-15,Hong Kong,3
2020-02-16,Hong Kong,0
2020-02-17,Hong Kong,1
2020-02-18,Hong Kong,3
2020-02-19,Hong Kong,2
2020-02-20,Hong Kong,3
2020-02-21,Hong Kong,3
2020-02-22,Hong Kong,0
2020-02-23,Hong Kong,2
2020-02-24,Hong Kong,4
2020-02-25,Hong Kong,7
2020-02-26,Hong Kong,4
2020-02-27,Hong Kong,6
2020-02-28,Hong Kong,2
2020-02-29,Hong Kong,1
2020-03-01,Hong Kong,1
2020-03-02,Hong Kong,3
2020-03-03,Hong Kong,3
2020-03-04,Hong Kong,-1
2020-03-05,Hong Kong,4
2020-03-06,Hong Kong,0
2020-03-07,Hong Kong,3
2020-03-08,Hong Kong,2
2020-03-09,Hong Kong,5
2020-03-10,Hong Kong,1
2020-03-11,Hong Kong,5
2020-03-12,Hong Kong,9
2020-01-14,Wuhan,NA
2020-01-15,Wuhan,41
2020-01-16,Wuhan,4
2020-01-17,Wuhan,17
2020-01-18,Wuhan,59
2020-01-19,Wuhan,77
2020-01-21,Wuhan,165
2020-01-22,Wuhan,81
2020-01-23,Wuhan,51
2020-01-24,Wuhan,77
2020-01-25,Wuhan,46
2020-01-26,Wuhan,80
2020-01-27,Wuhan,892
2020-01-28,Wuhan,315
2020-01-29,Wuhan,356
2020-01-30,Wuhan,378
2020-01-31,Wuhan,576
2020-02-01,Wuhan,894
2020-02-02,Wuhan,1033
2020-02-03,Wuhan,1242
2020-02-04,Wuhan,1967
2020-02-05,Wuhan,1766
2020-02-06,Wuhan,1501
2020-02-07,Wuhan,1985
2020-02-08,Wuhan,1379
2020-02-09,Wuhan,1920
2020-02-10,Wuhan,1552
2020-02-11,Wuhan,1104
2020-02-12,Wuhan,13436
2020-02-13,Wuhan,2997
2020-02-14,Wuhan,1923
2020-02-15,Wuhan,1548
2020-02-16,Wuhan,1690
2020-02-17,Wuhan,1600
2020-02-18,Wuhan,1660
2020-02-19,Wuhan,615
2020-02-20,Wuhan,319
2020-02-21,Wuhan,314
2020-02-22,Wuhan,541
2020-02-23,Wuhan,406
2020-02-24,Wuhan,464
2020-02-25,Wuhan,370
2020-02-26,Wuhan,383
2020-02-27,Wuhan,313
2020-02-28,Wuhan,420
2020-02-29,Wuhan,565
2020-03-01,Wuhan,193
2020-03-02,Wuhan,111
